id;Full_Name;Project_id;Nomination;Prize;Login;Password
272;Полина Никифоровна Сазонова;7779;Двигатель прогресса;2879000;ПНСазонова;dHrnh7qEUf
273;Любовь Степановна Лапина;6106;Молодой новатор;254000;ЛСЛапина;oDFwFf8u00
274;Никон Бориславович Князев;4817;Двигатель прогресса;2890000;НБКнязев;0uvNph.kA2
275;Маргарита Ниловна Блинова;2236;Двигатель прогресса;2727000;МНБлинова;5ttAd6Z47Z
276;Евграф Георгиевич Громов;2088;Проект будущего;2692000;ЕГГромов;G?6b5q?mfR
277;Екатерина Леонидовна Герасимова;4535;Двигатель прогресса;1901000;ЕЛГерасимова;!EC)xqvwKm
278;Карп Арсеньевич Горшков;1206;Молодой новатор;952000;КАГоршков;?JUTple8QV
279;Фортунат Валерианович Ермаков;1080;Проект будущего;378000;ФВЕрмаков;SWq7Z4gNEt
280;Маргарита Игоревна Горбачева;5387;Лидеры инноваций;2958000;МИГорбачева;hYZIgeBBrN
281;Вероника Никифоровна Егорова;3701;Меняющие реальность;1344000;ВНЕгорова;DESrs!y48C
282;Наум Всеволодович Прохоров;4237;Молодой новатор;2391000;НВПрохоров;IDxeRQwril
283;Василий Харламович Бобылев;7603;Меняющие реальность;2318000;ВХБобылев;)P3Wq11U9T
284;Евфросиния Ждановна Кудряшова;8557;Молодой новатор;899000;ЕЖКудряшова;zSQ!enK?Wy
285;Фадей Жанович Лыткин;6503;Меняющие реальность;985000;ФЖЛыткин;EkJC?yNInc
286;Фирс Жанович Афанасьев;3973;Проект будущего;1673000;ФЖАфанасьев;jZiUIx)BXk
287;Дарья Романовна Миронова;1305;Проект будущего;2992000;ДРМиронова;Ac6ZHiFeDp
288;Анастасия Андреевна Кузьмина;4056;Лидеры инноваций;291000;ААКузьмина;Bd19FOZXI8
289;Святослав Васильевич Мишин;2067;Меняющие реальность;1749000;СВМишин;UDk)73KMkT
290;Фёкла Макаровна Коновалова;7134;Молодой новатор;1690000;ФМКоновалова;6mfvFl5RZP
291;Полина Рубеновна Хохлова;3821;Меняющие реальность;1155000;ПРХохлова;b62.Nf.PVQ
292;Акулина Даниловна Данилова;2292;Молодой новатор;1535000;АДДанилова;nctHrbeCf1
293;Зоя Ивановна Симонова;1070;Двигатель прогресса;864000;ЗИСимонова;akv2Fn4!lM
294;Нинель Натановна Маслова;7779;Меняющие реальность;1042000;ННМаслова;zGilApv0t?
295;Нинель Львовна Ковалева;6007;Проект будущего;2781000;НЛКовалева;Az6DFnKC3H
296;Евпраксия Степановна Логинова;6428;Лидеры инноваций;2001000;ЕСЛогинова;I)BLXD2gJa
297;Синклитикия Вениаминовна Зимина;4214;Двигатель прогресса;327000;СВЗимина;XEwyIGA)Rt
298;Мечислав Викентьевич Рыбаков;1443;Лидеры инноваций;1069000;МВРыбаков;jX.mENKd!C
299;Платон Филимонович Попов;7954;Меняющие реальность;1013000;ПФПопов;UMgtd)kt)l
300;Валерия Богдановна Шашкова;3106;Проект будущего;2730000;ВБШашкова;K?UuwqhPBP
301;Изот Якубович Филатов;3561;Двигатель прогресса;2638000;ИЯФилатов;6vxu.kkjU9
302;Валерий Игнатьевич Максимов;3296;Проект будущего;143000;ВИМаксимов;sGq0R4NkHf
303;Эмилия Олеговна Морозова;1604;Лидеры инноваций;357000;ЭОМорозова;7qhfMZqcNj
304;Фаина Аркадьевна Королева;7821;Меняющие реальность;2301000;ФАКоролева;sxCRaBDQVg
305;Карл Ильясович Бирюков;6517;Лидеры инноваций;2973000;КИБирюков;HNXfwiJ)BG
306;Агафья Артемовна Ершова;9454;Лидеры инноваций;1342000;ААЕршова;nH5HQvhT2O
307;Исай Эдгарович Мартынов;5379;Двигатель прогресса;379000;ИЭМартынов;2Y3RQ(oYy1
308;Федор Харлампович Фомичев;7090;Двигатель прогресса;1842000;ФХФомичев;tLUnbSp(59
309;Афанасий Ильич Петухов;3898;Двигатель прогресса;2682000;АИПетухов;00L1E9RQOl
310;Агафья Владиславовна Павлова;2172;Меняющие реальность;1235000;АВПавлова;KlG4v6rpa3
311;Григорий Афанасьевич Муравьев;2152;Лидеры инноваций;1345000;ГАМуравьев;OqEFWdrkSA
312;Нинель Антоновна Калашникова;4923;Проект будущего;1316000;НАКалашникова;ZauE?bzh5m
313;Януарий Давыдович Мухин;7197;Меняющие реальность;1644000;ЯДМухин;93Al?hbYyF
314;Алла Олеговна Куликова;5906;Двигатель прогресса;1167000;АОКуликова;kdLyZdXP2F
315;Ананий Елисеевич Лукин;2200;Двигатель прогресса;1454000;АЕЛукин;shbPAhF9MN
316;Дарья Афанасьевна Симонова;6761;Молодой новатор;1323000;ДАСимонова;Ot3c0YRh.Q
317;Евгения Тимуровна Цветкова;3393;Молодой новатор;2979000;ЕТЦветкова;l9G()lU.mu
318;Рубен Геннадиевич Громов;1604;Лидеры инноваций;1417000;РГГромов;X01QKCuvhN
319;Василиса Петровна Котова;7134;Проект будущего;2815000;ВПКотова;5H6C8Icjp3
320;Савва Валерианович Фадеев;3952;Меняющие реальность;2440000;СВФадеев;s8BsiRmjOs
321;Панкрат Владиславович Бобров;1420;Двигатель прогресса;2515000;ПВБобров;f9MtRA1pH2
322;Кира Феликсовна Лобанова;5003;Лидеры инноваций;1682000;КФЛобанова;iKhuEThHFp
323;Сигизмунд Гурьевич Лобанов;4945;Двигатель прогресса;2742000;СГЛобанов;sx6MEOk4?j
324;Любовь Борисовна Никонова;2987;Лидеры инноваций;1965000;ЛБНиконова;!ZWo9AodTd
325;Любомир Вилорович Терентьев;2172;Меняющие реальность;2949000;ЛВТерентьев;vNNvT2pH0H
326;Максим Власович Кудрявцев;9961;Меняющие реальность;2079000;МВКудрявцев;19aOggKfkq
327;Сократ Ерофеевич Антонов;8031;Двигатель прогресса;2086000;СЕАнтонов;j11C7a2Frv
328;Ирина Артемовна Зуева;2822;Проект будущего;2481000;ИАЗуева;15LoLKkrN.
329;Лазарь Фёдорович Лапин;4201;Меняющие реальность;2788000;ЛФЛапин;QqwQSGZ0xY
330;Прокл Анатольевич Баранов;4058;Лидеры инноваций;NULL;ПАБаранов;v9Ucq3YqeK
331;Мартын Исидорович Мишин;1754;Проект будущего;545000;МИМишин;uajBcxYyeR
332;Потап Якубович Князев;7078;Молодой новатор;2932000;ПЯКнязев;Oz6m0S?Ig0
333;София Львовна Шубина;4143;Лидеры инноваций;1761000;СЛШубина;ktuBgdTM6Y
334;Раиса Геннадиевна Кондратьева;3556;Молодой новатор;2070000;РГКондратьева;Cp(SZp6puD
335;Вера Эдуардовна Воробьева;1206;Меняющие реальность;677000;ВЭВоробьева;pHphBVy)k8
336;Стоян Марсович Кириллов;4097;Меняющие реальность;888000;СМКириллов;RxtNcfgHVX
337;Феоктист Еремеевич Кононов;1266;Двигатель прогресса;2749000;ФЕКононов;?eYmCmM42U
338;Лучезар Аверьянович Селиверстов;7702;Молодой новатор;2786000;ЛАСеливерстов;XiH3P3.ENX
339;Евфросиния Робертовна Шашкова;2897;Двигатель прогресса;1848000;ЕРШашкова;k6tE9ycu2U
340;Порфирий Евстигнеевич Лыткин;4307;Молодой новатор;NULL;ПЕЛыткин;38VffQ4WSx
341;Жанна Феликсовна Васильева;1904;Меняющие реальность;1524000;ЖФВасильева;7w8gpX.rMV
342;Пелагея Кирилловна Гаврилова;7211;Меняющие реальность;2236000;ПКГаврилова;SFwuk.kHgC
343;Валентин Бенедиктович Гордеев;1775;Лидеры инноваций;639000;ВБГордеев;Rmsnxe7ekB
344;Евдокия Константиновна Власова;4201;Молодой новатор;1005000;ЕКВласова;iVkT6oIDE)
345;Евфросиния Викторовна Ермакова;4495;Меняющие реальность;256000;ЕВЕрмакова;KA0cfQlhEp
346;Фёкла Сергеевна Ковалева;8165;Двигатель прогресса;691000;ФСКовалева;?v1IGLwpvE
347;Полина Дмитриевна Кулакова;7003;Лидеры инноваций;2769000;ПДКулакова;WdTrHc8x2X
348;Елена Робертовна Кудряшова;7293;Проект будущего;1247000;ЕРКудряшова;hFxZ6zJNw6
349;Наталья Эльдаровна Воробьева;4724;Лидеры инноваций;812000;НЭВоробьева;jNy3eQ)Wp8
350;Лариса Аскольдовна Иванова;1832;Двигатель прогресса;2477000;ЛАИванова;ngoSH)vdqH
351;Феофан Захарьевич Петухов;5981;Двигатель прогресса;2100000;ФЗПетухов;3mlrEfUpHk
352;Евсей Гурьевич Горбачев;5699;Меняющие реальность;2439000;ЕГГорбачев;I(j4)N6aSM
353;Лидия Федоровна Новикова;3855;Двигатель прогресса;459000;ЛФНовикова;XowNgw?d20
354;Лука Абрамович Устинов;7349;Двигатель прогресса;305000;ЛАУстинов;OxAAPs7nBZ
355;Гедеон Ермолаевич Петухов;7922;Двигатель прогресса;262000;ГЕПетухов;t6ByPpx!Cy
356;Нестор Харлампович Кононов;9719;Двигатель прогресса;2248000;НХКононов;.ZLi5S8T?o
357;Будимир Гавриилович Котов;8526;Двигатель прогресса;707000;БГКотов;DG)6F5okdJ
358;Исидор Власович Родионов;5332;Меняющие реальность;1258000;ИВРодионов;tR17UxJd!7
359;Наталья Афанасьевна Шестакова;6485;Проект будущего;925000;НАШестакова;Y9MytDdPf8
360;Николай Эдуардович Гаврилов;5387;Меняющие реальность;NULL;НЭГаврилов;24eUisHf3T
361;Юрий Устинович Кононов;8684;Двигатель прогресса;1151000;ЮУКононов;3vqMCq2!.T
362;Любовь Никифоровна Прохорова;9578;Проект будущего;1067000;ЛНПрохорова;Td28WuL5Sn
363;Харлампий Бенедиктович Анисимов;6761;Молодой новатор;2104000;ХБАнисимов;qEEhaI(eV.
364;Оксана Анатольевна Блинова;3701;Лидеры инноваций;420000;ОАБлинова;Vr)EbIlMbZ
365;Ксения Феликсовна Галкина;6735;Меняющие реальность;2811000;КФГалкина;d!JWZoIqdr
366;Октябрина Робертовна Игнатьева;6155;Лидеры инноваций;899000;ОРИгнатьева;XI3W1U3PX.
367;Гурий Брониславович Кудрявцев;6415;Лидеры инноваций;1217000;ГБКудрявцев;FZK)uXdjOa
368;София Харитоновна Гордеева;3356;Молодой новатор;2970000;СХГордеева;T3UVxQ(ot!
369;Зинаида Никифоровна Пестова;8851;Лидеры инноваций;2119000;ЗНПестова;ds(.Cp.m3X
370;Сократ Ильясович Веселов;1266;Лидеры инноваций;171000;СИВеселов;c!r2asua8e
371;Аникита Викентьевич Родионов;8287;Лидеры инноваций;271000;АВРодионов;u3nBL(mAE3
372;Эмилия Викторовна Лобанова;8287;Двигатель прогресса;2120000;ЭВЛобанова;DUbNIcerbt
373;Аристарх Устинович Шубин;8080;Лидеры инноваций;953000;АУШубин;T9d!orVCln
374;Ярополк Давидович Поляков;8587;Меняющие реальность;1323000;ЯДПоляков;)c3hAD?Zi5
375;Полина Николаевна Мишина;7524;Двигатель прогресса;NULL;ПНМишина;oeSXgikW7O
376;Светлана Яковлевна Лазарева;7762;Лидеры инноваций;1166000;СЯЛазарева;JYUnTO3F?9
377;Алексей Жоресович Савельев;5078;Проект будущего;1591000;АЖСавельев;ic)TZNcNhS
378;Панкрат Артурович Чернов;7293;Молодой новатор;982000;ПАЧернов;)oHmezoivN
379;Евстигней Ермолаевич Фадеев;5379;Проект будущего;927000;ЕЕФадеев;MQnKO2e83q
380;Тихон Фокич Смирнов;9178;Двигатель прогресса;1220000;ТФСмирнов;A9VRi3G4K9
381;Устин Эдуардович Мишин;9465;Меняющие реальность;2036000;УЭМишин;yG1Zis3..w
382;Валерия Архиповна Шашкова;2726;Меняющие реальность;1165000;ВАШашкова;XpJzyLlUR2
383;Полина Ефимовна Казакова;9251;Проект будущего;1739000;ПЕКазакова;B3miTPLax6
384;Дорофей Ефремович Соболев;3128;Меняющие реальность;1452000;ДЕСоболев;WvtUeC?bTJ
385;Павел Афанасьевич Комаров;6506;Меняющие реальность;327000;ПАКомаров;umlwVN?m?b
386;Галактион Ефимович Наумов;9516;Лидеры инноваций;2520000;ГЕНаумов;8o0FIisIHO
387;Анжела Богдановна Егорова;6891;Меняющие реальность;722000;АБЕгорова;h1!E.VHMcu
388;Анжелика Архиповна Трофимова;5491;Меняющие реальность;NULL;ААТрофимова;G44Culy7O7
389;Вячеслав Иларионович Кононов;1904;Проект будущего;2070000;ВИКононов;pK4G43jXmU
390;Фома Августович Красильников;4428;Лидеры инноваций;NULL;ФАКрасильников;0xTsiSiNQi
391;Ипат Феодосьевич Ефремов;5045;Проект будущего;NULL;ИФЕфремов;GLPchO5PFe
392;Ратибор Захарьевич Васильев;5211;Молодой новатор;190000;РЗВасильев;4h0v?AAg06
393;Татьяна Егоровна Моисеева;8185;Проект будущего;2503000;ТЕМоисеева;kf3LpMzQZT
394;Фотий Афанасьевич Логинов;3383;Молодой новатор;2912000;ФАЛогинов;)mZOlg4!RI
395;Парфен Глебович Одинцов;3554;Меняющие реальность;693000;ПГОдинцов;5NlVXVjHy3
396;Мефодий Харлампьевич Овчинников;2034;Проект будущего;1061000;МХОвчинников;gnyMGeSBx9
397;Серафим Архипович Мельников;9110;Проект будущего;2604000;САМельников;VPiUBZpBBA
398;Вера Валериевна Кузнецова;6790;Проект будущего;2471000;ВВКузнецова;GRK!IZ7UUW
399;Анна Евгеньевна Дроздова;9110;Проект будущего;2852000;АЕДроздова;FVHVH21i5a
400;Виктория Эльдаровна Голубева;1300;Проект будущего;NULL;ВЭГолубева;0aozNZdm2D
